organism,genome,symbol,gene_id,gene_number,chr,start,end,strand
Mus musculus,mm10,1700011L22Rik,ENSMUSG00000031682.5,48,chr8,79210431,79248570,-
Mus musculus,mm10,1700011M02Rik,ENSMUSG00000079476.1,49,chrX,102908905,102909651,+
Mus musculus,mm10,1700012A03Rik,ENSMUSG00000029766.7,50,chr6,32050246,32058921,+
Mus musculus,mm10,1700012B07Rik,ENSMUSG00000020617.13,51,chr11,109787651,109828046,-
Mus musculus,mm10,1700012B09Rik,ENSMUSG00000031927.9,52,chr9,14756587,14771030,-
Mus musculus,mm10,1700012P22Rik,ENSMUSG00000028589.2,53,chr4,144418189,144438772,-
Mus musculus,mm10,1700013F07Rik,ENSMUSG00000027886.7,54,chr3,108534150,108544723,+
Mus musculus,mm10,1700013G24Rik,ENSMUSG00000041399.3,55,chr4,137453284,137455461,+
Mus musculus,mm10,1700013H16Rik,ENSMUSG00000054727.2,56,chrX,53742901,53757831,-
Mus musculus,mm10,1700014D04Rik,ENSMUSG00000051054.4,57,chr13,59740842,59746752,-
Mus musculus,mm10,1700015F17Rik,ENSMUSG00000079666.8,58,chr5,5437827,5479143,-
Mus musculus,mm10,1700015G11Rik,ENSMUSG00000094445.7,59,chr7,52011683,52015728,-
Mus musculus,mm10,1700016C15Rik,ENSMUSG00000015962.5,60,chr1,177729814,177753324,+
Mus musculus,mm10,1700016D06Rik,ENSMUSG00000031509.10,61,chr8,11654924,11701063,-
Mus musculus,mm10,1700016H13Rik,ENSMUSG00000029320.11,62,chr5,103648039,103656010,-
Mus musculus,mm10,1700016K19Rik,ENSMUSG00000053783.5,63,chr11,75999912,76003569,+
Mus musculus,mm10,1700017B05Rik,ENSMUSG00000032300.7,64,chr9,57253117,57262612,-
Mus musculus,mm10,1700017N19Rik,ENSMUSG00000056912.12,65,chr10,100590484,100618401,+
Mus musculus,mm10,1700018B08Rik,ENSMUSG00000031809.10,66,chr8,121530780,121544320,-
Mus musculus,mm10,1700018F24Rik,ENSMUSG00000029620.4,67,chr5,145042990,145045681,+
Mus musculus,mm10,1700018G05Rik,ENSMUSG00000109745.1,68,chrX,102928372,102929094,+
Mus musculus,mm10,1700019A02Rik,ENSMUSG00000060715.9,69,chr1,53158577,53187636,-
Mus musculus,mm10,1700019D03Rik,ENSMUSG00000043629.12,70,chr1,52922324,53020179,-
Mus musculus,mm10,1700019N19Rik,ENSMUSG00000026931.10,71,chr19,58785803,58794461,-
Mus musculus,mm10,1700020A23Rik,ENSMUSG00000027409.5,72,chr2,130405259,130406074,+
Mus musculus,mm10,1700020D05Rik,ENSMUSG00000100937.1,73,chr19,5502767,5503787,-
Mus musculus,mm10,1700020L24Rik,ENSMUSG00000035085.5,74,chr11,83437677,83441233,+
Mus musculus,mm10,1700020N01Rik,ENSMUSG00000050844.5,75,chr10,21593145,21622376,+
Mus musculus,mm10,1700020N15Rik,ENSMUSG00000059690.1,76,chrX,69945300,69945978,+
Mus musculus,mm10,1700021F07Rik,ENSMUSG00000027518.3,77,chr2,173522586,173528501,+
Mus musculus,mm10,1700022I11Rik,ENSMUSG00000028451.12,78,chr4,42969604,42983640,+
Mus musculus,mm10,1700024B05Rik,ENSMUSG00000052334.11,79,chr14,41943995,42003821,+
Mus musculus,mm10,1700024G13Rik,ENSMUSG00000072473.4,80,chr14,32376068,32388391,-
Mus musculus,mm10,1700025B11Rik,ENSMUSG00000101113.1,81,chr15,77558239,77561892,-
Mus musculus,mm10,1700025C18Rik,ENSMUSG00000078935.1,82,chr2,165078693,165090750,-
Mus musculus,mm10,1700025G04Rik,ENSMUSG00000032666.16,83,chr1,151852403,152090125,-
Mus musculus,mm10,1700028J19Rik,ENSMUSG00000038782.7,84,chr7,44229811,44246695,-
Mus musculus,mm10,1700028K03Rik,ENSMUSG00000089798.10,85,chr5,107534709,107551542,+
Mus musculus,mm10,1700028P14Rik,ENSMUSG00000033053.4,86,chr19,23558753,23652812,-
Mus musculus,mm10,1700029F12Rik,ENSMUSG00000052075.7,87,chr13,97021864,97034362,-
Mus musculus,mm10,1700029H14Rik,ENSMUSG00000031452.15,88,chr8,13550733,13562461,-
Mus musculus,mm10,1700029I15Rik,ENSMUSG00000044916.10,89,chr2,92382538,92385708,+
Mus musculus,mm10,1700029J07Rik,ENSMUSG00000071103.10,90,chr8,45953606,45975440,-
Mus musculus,mm10,1700029P11Rik,ENSMUSG00000061633.3,91,chr15,81980540,81981563,+
Mus musculus,mm10,1700030J22Rik,ENSMUSG00000031847.8,92,chr8,116969594,116978959,-
Mus musculus,mm10,1700030K09Rik,ENSMUSG00000052794.13,93,chr8,72443880,72461001,+
Mus musculus,mm10,1700031F05Rik,ENSMUSG00000032894.13,94,chrX,102859186,102867971,-
Mus musculus,mm10,1700031L13Rik,ENSMUSG00000099863.1,95,chr5,82122408,82124713,-
Mus musculus,mm10,1700034E13Rik,ENSMUSG00000024532.13,96,chr18,52646209,52663733,+
Mus musculus,mm10,1700034I23Rik,ENSMUSG00000074619.5,97,chr3,40900196,40902543,-
Mus musculus,mm10,1700034J05Rik,ENSMUSG00000040163.14,98,chr6,146950329,146954422,-
Mus musculus,mm10,1700037C18Rik,ENSMUSG00000005983.15,99,chr16,3895179,3908689,-
Mus musculus,mm10,1700037H04Rik,ENSMUSG00000027327.16,100,chr2,131146324,131160081,-
Mus musculus,mm10,1700040F15Rik,ENSMUSG00000100667.1,101,chrY,61102247,61134259,+
Mus musculus,mm10,1700042G07Rik,ENSMUSG00000078593.2,102,chr4,116173372,116174290,+
Mus musculus,mm10,1700049E17Rik1,ENSMUSG00000079271.4,103,chr14,41924949,41933041,+
Mus musculus,mm10,1700049E17Rik2,ENSMUSG00000090440.2,104,chr14,41573211,41581305,+
Mus musculus,mm10,1700056E22Rik,ENSMUSG00000044854.7,105,chr1,184033030,184034301,-
Mus musculus,mm10,1700057G04Rik,ENSMUSG00000074139.8,106,chr9,92309377,92357876,+
Mus musculus,mm10,1700064H15Rik,ENSMUSG00000082766.1,107,chr3,19610368,19628677,-
Mus musculus,mm10,1700066B19Rik,ENSMUSG00000073598.3,108,chr18,35703225,35730869,+
Mus musculus,mm10,1700066M21Rik,ENSMUSG00000038323.3,109,chr1,57377620,57385423,+
Mus musculus,mm10,1700067K01Rik,ENSMUSG00000046408.15,110,chr8,84001502,84004770,+
Mus musculus,mm10,1700067P10Rik,ENSMUSG00000021545.5,111,chr17,48089319,48090918,+
Mus musculus,mm10,1700069L16Rik,ENSMUSG00000042184.11,112,chr5,113692422,113724772,-
Mus musculus,mm10,1700074P13Rik,ENSMUSG00000029883.12,113,chr6,40920437,40940557,-
Mus musculus,mm10,1700080O16Rik,ENSMUSG00000031118.8,114,chrX,51968695,51972772,-
Mus musculus,mm10,1700084M14Rik,ENSMUSG00000057805.4,115,chrX,91575210,91575911,-
Mus musculus,mm10,1700086D15Rik,ENSMUSG00000020548.10,116,chr11,65151910,65159891,-
Mus musculus,mm10,1700088E04Rik,ENSMUSG00000033029.12,117,chr15,79129349,79141253,-
Mus musculus,mm10,1700092M07Rik,ENSMUSG00000090840.2,118,chr19,8740718,8741225,+
Mus musculus,mm10,1700093K21Rik,ENSMUSG00000020286.13,119,chr11,23516203,23521155,-
Mus musculus,mm10,1700094D03Rik,ENSMUSG00000118506.1,120,chr3,90062796,90068347,+
Mus musculus,mm10,1700102P08Rik,ENSMUSG00000032611.9,121,chr9,108392805,108410934,+
Mus musculus,mm10,1700109H08Rik,ENSMUSG00000008307.11,122,chr5,3571566,3584356,+
Mus musculus,mm10,1700113H08Rik,ENSMUSG00000047129.11,123,chr10,87058045,87230589,+
Mus musculus,mm10,1700122O11Rik,ENSMUSG00000094928.1,124,chr17,48036745,48038293,-
Mus musculus,mm10,1700123K08Rik,ENSMUSG00000029526.5,125,chr5,138561840,138564712,-
Mus musculus,mm10,1700123L14Rik,ENSMUSG00000072878.4,126,chr6,96164497,96166243,-
Mus musculus,mm10,1700123O20Rik,ENSMUSG00000040822.7,127,chr14,54686216,54690741,+
Mus musculus,mm10,1700125H20Rik,ENSMUSG00000018479.12,128,chr11,85170404,85181145,+
Mus musculus,mm10,1700129C05Rik,ENSMUSG00000021977.11,129,chr14,59133040,59142893,-
Mus musculus,mm10,1810009A15Rik,ENSMUSG00000071653.9,130,chr19,8888853,8890881,+
Mus musculus,mm10,1810009J06Rik,ENSMUSG00000094808.2,131,chr6,40964754,40968435,+
Mus musculus,mm10,1810010H24Rik,ENSMUSG00000078607.6,132,chr11,107025681,107030443,+
Mus musculus,mm10,1810013L24Rik,ENSMUSG00000022507.6,133,chr16,8830100,8858922,+
Mus musculus,mm10,1810020O05Rik,ENSMUSG00000089997.2,134,chr6,87675590,87722801,-
Mus musculus,mm10,1810024B03Rik,ENSMUSG00000044145.2,135,chr2,127186355,127208280,-
Mus musculus,mm10,1810030O07Rik,ENSMUSG00000044148.6,136,chrX,12654879,12673668,-
Mus musculus,mm10,1810037I17Rik,ENSMUSG00000054091.9,137,chr3,122924203,122926184,+
Mus musculus,mm10,1810046K07Rik,ENSMUSG00000036027.13,138,chr9,51289686,51328924,-
Mus musculus,mm10,1810049J17Rik,ENSMUSG00000097221.1,139,chr15,12321438,12321899,-
Mus musculus,mm10,1810055G02Rik,ENSMUSG00000035372.2,140,chr19,3708293,3717881,+
Mus musculus,mm10,1810058I24Rik,ENSMUSG00000073155.12,141,chr6,35252654,35263496,+
Mus musculus,mm10,1810062G17Rik,ENSMUSG00000027713.6,142,chr3,36475937,36482299,+
Mus musculus,mm10,1810065E05Rik,ENSMUSG00000013653.2,143,chr11,58421111,58426024,+
Mus musculus,mm10,2010003K11Rik,ENSMUSG00000042041.7,144,chr19,4496788,4498583,-
Mus musculus,mm10,2010106E10Rik,ENSMUSG00000025528.10,145,chrX,112495274,112558343,+
Mus musculus,mm10,2010109A12Rik,ENSMUSG00000029384.5,146,chr5,93206518,93213475,+
Mus musculus,mm10,2010300C02Rik,ENSMUSG00000026090.16,147,chr1,37611677,37720085,-
Mus musculus,mm10,2010315B03Rik,ENSMUSG00000074829.10,148,chr9,124291804,124312696,-
Mus musculus,mm10,2200002D01Rik,ENSMUSG00000030587.5,149,chr7,29246561,29248466,-
Mus musculus,mm10,2200002J24Rik,ENSMUSG00000013083.8,150,chr7,30698926,30700536,+
Mus musculus,mm10,2210010C04Rik,ENSMUSG00000029882.5,151,chr6,41030268,41035509,-
Mus musculus,mm10,2210016F16Rik,ENSMUSG00000021550.6,152,chr13,58379817,58385225,-
Mus musculus,mm10,2210016L21Rik,ENSMUSG00000029559.15,153,chr5,114942158,114949783,+
Mus musculus,mm10,2210017I01Rik,ENSMUSG00000103523.1,154,chr3,92604718,92607492,-
Mus musculus,mm10,2210407C18Rik,ENSMUSG00000037145.14,155,chr11,58608204,58616075,-
Mus musculus,mm10,2210408I21Rik,ENSMUSG00000071252.6,156,chr13,77135540,77613784,+
Mus musculus,mm10,2210418O10Rik,ENSMUSG00000078894.9,157,chr2,176226569,176240328,+
Mus musculus,mm10,2300002M23Rik,ENSMUSG00000039269.5,158,chr17,35567450,35568952,+
Mus musculus,mm10,2300003K06Rik,ENSMUSG00000078257.2,159,chr11,99836802,99838066,-
Mus musculus,mm10,2300009A05Rik,ENSMUSG00000032403.8,160,chr9,63394447,63399246,-
Mus musculus,mm10,2310002L09Rik,ENSMUSG00000028396.5,161,chr4,73939371,73950846,-
Mus musculus,mm10,2310003L06Rik,ENSMUSG00000007457.3,162,chr5,87969459,87972870,+
Mus musculus,mm10,2310009B15Rik,ENSMUSG00000079283.2,163,chr1,138851983,138856852,-
Mus musculus,mm10,2310011J03Rik,ENSMUSG00000020133.8,164,chr10,80318254,80320537,-
Mus musculus,mm10,2310022A10Rik,ENSMUSG00000049643.15,165,chr7,27553233,27582099,+
Mus musculus,mm10,2310022B05Rik,ENSMUSG00000031983.7,166,chr8,124635756,124663369,-
Mus musculus,mm10,2310030G06Rik,ENSMUSG00000032062.3,167,chr9,50739691,50746536,-
Mus musculus,mm10,2310033P09Rik,ENSMUSG00000020441.6,168,chr11,59208321,59210738,+
Mus musculus,mm10,2310034C09Rik,ENSMUSG00000068078.4,169,chr16,88758847,88759792,+
Mus musculus,mm10,2310034G01Rik,ENSMUSG00000099655.2,170,chr19,46348201,46350302,-
Mus musculus,mm10,2310039H08Rik,ENSMUSG00000062619.6,171,chr17,46772635,46773396,+
Mus musculus,mm10,2310046K23Rik,ENSMUSG00000102308.1,172,chr3,92532505,92534511,-
Mus musculus,mm10,2310050C09Rik,ENSMUSG00000090314.2,173,chr3,92868359,92870216,-
Mus musculus,mm10,2310057J18Rik,ENSMUSG00000015519.12,174,chr10,28972288,28986303,-
Mus musculus,mm10,2310057M21Rik,ENSMUSG00000040177.10,175,chr7,131338220,131362759,-
Mus musculus,mm10,2310057N15Rik,ENSMUSG00000048830.3,176,chr16,88773179,88774206,-
Mus musculus,mm10,2310061I04Rik,ENSMUSG00000050705.15,177,chr17,35892677,35897431,-
Mus musculus,mm10,2310061N02Rik,ENSMUSG00000050704.3,178,chr16,88707169,88707962,-
Mus musculus,mm10,2310079G19Rik,ENSMUSG00000045331.3,179,chr16,88626786,88627666,-
Mus musculus,mm10,2410002F23Rik,ENSMUSG00000045411.16,180,chr7,44246722,44252319,+
Mus musculus,mm10,2410004B18Rik,ENSMUSG00000036873.13,181,chr3,145938014,145944829,+
Mus musculus,mm10,2410004P03Rik,ENSMUSG00000071398.8,182,chr12,17003319,17011727,-
Mus musculus,mm10,2410131K14Rik,ENSMUSG00000032840.7,183,chr5,118245227,118266093,+
Mus musculus,mm10,2410137M14Rik,ENSMUSG00000064308.10,184,chr17,36977701,36981237,-
Mus musculus,mm10,2410141K09Rik,ENSMUSG00000074832.11,185,chr13,66418114,66441118,-
Mus musculus,mm10,2510002D24Rik,ENSMUSG00000071632.10,186,chr16,18836578,18840160,+
Mus musculus,mm10,2510009E07Rik,ENSMUSG00000043391.10,187,chr16,21649045,21694665,-
Mus musculus,mm10,2510039O18Rik,ENSMUSG00000044496.6,188,chr4,147940895,147947314,+
Mus musculus,mm10,2610001J05Rik,ENSMUSG00000052419.7,189,chr6,13867735,13871518,-
Mus musculus,mm10,2610002M06Rik,ENSMUSG00000031242.7,190,chrX,107782751,107816334,-
Mus musculus,mm10,2610008E11Rik,ENSMUSG00000060301.6,191,chr10,79064374,79097600,-
Mus musculus,mm10,2610021A01Rik,ENSMUSG00000091474.2,192,chr7,41599230,41628533,+
Mus musculus,mm10,2610028H24Rik,ENSMUSG00000009114.17,193,chr10,76449081,76461110,+
Mus musculus,mm10,2610042L04Rik,ENSMUSG00000079388.9,194,chr14,4334763,4354688,+
Mus musculus,mm10,2610044O15Rik8,ENSMUSG00000071302.10,195,chr8,129216354,129234406,-
Mus musculus,mm10,2610301B20Rik,ENSMUSG00000059482.15,196,chr4,10874498,10899425,+
Mus musculus,mm10,2610318N02Rik,ENSMUSG00000049916.12,197,chr16,17113398,17125167,-
Mus musculus,mm10,2610507B11Rik,ENSMUSG00000010277.7,198,chr11,78261752,78290623,+
Mus musculus,mm10,2610528A11Rik,ENSMUSG00000096001.2,199,chr14,37102140,37114022,-
Mus musculus,mm10,2610528J11Rik,ENSMUSG00000028536.12,200,chr4,118526999,118530228,+
Mus musculus,mm10,2700049A03Rik,ENSMUSG00000034601.17,201,chr12,71136848,71243303,+
Mus musculus,mm10,2700062C07Rik,ENSMUSG00000024273.8,202,chr18,24470850,24477798,+
Mus musculus,mm10,2700081O15Rik,ENSMUSG00000053080.10,203,chr19,7417625,7425904,+
Mus musculus,mm10,2700097O09Rik,ENSMUSG00000062198.5,204,chr12,55045661,55080110,-
Mus musculus,mm10,2810004N23Rik,ENSMUSG00000031984.8,205,chr8,124836945,124863120,-
Mus musculus,mm10,2810006K23Rik,ENSMUSG00000047635.6,206,chr5,124328089,124341844,+
Mus musculus,mm10,2810021J22Rik,ENSMUSG00000020491.15,207,chr11,58867216,58883288,+
Mus musculus,mm10,2810408A11Rik,ENSMUSG00000018570.17,208,chr11,69897352,69900987,-
Mus musculus,mm10,2810459M11Rik,ENSMUSG00000026227.11,209,chr1,86045863,86055456,+
Mus musculus,mm10,2900026A02Rik,ENSMUSG00000051339.10,210,chr5,113086323,113221236,-
Mus musculus,mm10,2900092C05Rik,ENSMUSG00000030385.4,211,chr7,12512517,12556323,+
Mus musculus,mm10,3110001I22Rik,ENSMUSG00000079737.4,212,chr16,13671929,13678388,+
Mus musculus,mm10,3110009E18Rik,ENSMUSG00000026388.15,213,chr1,120121187,120188189,+
Mus musculus,mm10,3110021N24Rik,ENSMUSG00000094958.1,214,chr4,108719649,108781904,+
Mus musculus,mm10,3110040M04Rik,ENSMUSG00000114582.1,215,chr1,151204121,151205065,+
Mus musculus,mm10,3110040N11Rik,ENSMUSG00000025102.14,216,chr7,81782182,81789478,-
Mus musculus,mm10,3110082I17Rik,ENSMUSG00000053553.11,217,chr5,139359739,139460527,-
Mus musculus,mm10,3110082J24Rik,ENSMUSG00000086815.4,218,chr5,30103584,30106086,-
Mus musculus,mm10,3300002I08Rik,ENSMUSG00000063364.10,219,chr2,150310935,150362765,-
Mus musculus,mm10,3425401B19Rik,ENSMUSG00000071540.4,220,chr14,32659119,32685293,-
Mus musculus,mm10,3830403N18Rik,ENSMUSG00000031125.2,221,chrX,56136572,56153498,+
Mus musculus,mm10,3830406C13Rik,ENSMUSG00000033111.16,222,chr14,12284173,12303231,+
Mus musculus,mm10,3830417A13Rik,ENSMUSG00000031179.14,223,chrX,64173548,64178778,+
Mus musculus,mm10,4430402I18Rik,ENSMUSG00000064202.15,224,chr19,28893042,28967800,-
Mus musculus,mm10,4632433K11Rik,ENSMUSG00000116184.1,225,chr7,5034118,5035246,+
Mus musculus,mm10,4833420G17Rik,ENSMUSG00000062822.8,226,chr13,119462768,119486120,+
Mus musculus,mm10,4833427G06Rik,ENSMUSG00000032057.9,227,chr9,51081115,51102078,-
Mus musculus,mm10,4833439L19Rik,ENSMUSG00000025871.18,228,chr13,54551218,54565435,-
Mus musculus,mm10,4921504E06Rik,ENSMUSG00000026734.9,229,chr2,19462837,19553914,-
Mus musculus,mm10,4921507P07Rik,ENSMUSG00000029828.4,230,chr6,50573302,50596632,-
Mus musculus,mm10,4921509C19Rik,ENSMUSG00000061525.2,231,chr2,151470542,151476153,-
Mus musculus,mm10,4921511C20Rik,ENSMUSG00000049815.3,232,chrX,127394293,127395898,+
Mus musculus,mm10,4921517D22Rik,ENSMUSG00000049902.6,233,chr13,59687402,59694108,-
Mus musculus,mm10,4921524J17Rik,ENSMUSG00000036934.9,234,chr8,85408759,85432833,-
Mus musculus,mm10,4921524L21Rik,ENSMUSG00000039540.9,235,chr18,6603629,6638970,+
Mus musculus,mm10,4921536K21Rik,ENSMUSG00000020434.4,236,chr11,3886088,3895098,-
Mus musculus,mm10,4921539E11Rik,ENSMUSG00000028520.12,237,chr4,103230445,103290863,-
Mus musculus,mm10,4930402F06Rik,ENSMUSG00000079421.8,238,chr2,35375562,35397175,-
Mus musculus,mm10,4930402H24Rik,ENSMUSG00000027309.18,239,chr2,130706200,130906406,-
Mus musculus,mm10,4930402K13Rik,ENSMUSG00000045797.1,240,chrX,9104562,9106342,+
Mus musculus,mm10,4930404H24Rik,ENSMUSG00000079001.1,241,chr2,153492790,153493841,+
Mus musculus,mm10,4930404N11Rik,ENSMUSG00000020234.10,242,chr10,81363067,81365816,-
Mus musculus,mm10,4930407I10Rik,ENSMUSG00000075524.3,243,chr15,82059151,82066540,+
Mus musculus,mm10,4930412O13Rik,ENSMUSG00000025783.2,244,chr2,9881252,9883921,+
Mus musculus,mm10,4930415L06Rik,ENSMUSG00000035387.5,245,chrX,89930098,89932852,-
Mus musculus,mm10,4930415O20Rik,ENSMUSG00000022993.7,246,chr15,98571004,98589580,+
Mus musculus,mm10,4930430F08Rik,ENSMUSG00000046567.10,247,chr10,100572265,100590423,-
Mus musculus,mm10,4930432K21Rik,ENSMUSG00000008129.14,248,chr8,84148025,84172590,+
Mus musculus,mm10,4930432M17Rik,ENSMUSG00000074248.7,249,chr3,121670762,121682982,+
Mus musculus,mm10,4930433I11Rik,ENSMUSG00000091692.2,250,chr7,40987543,40995435,+
Mus musculus,mm10,4930438A08Rik,ENSMUSG00000069873.4,251,chr11,58274799,58294289,+
Mus musculus,mm10,4930444G20Rik,ENSMUSG00000069712.5,252,chr10,22066307,22068079,-
Mus musculus,mm10,4930444P10Rik,ENSMUSG00000067795.13,253,chr1,16065979,16093325,-
Mus musculus,mm10,4930447A16Rik,ENSMUSG00000022288.1,254,chr15,37425554,37440644,+
Mus musculus,mm10,4930447C04Rik,ENSMUSG00000021098.14,255,chr12,72881109,72940774,-
Mus musculus,mm10,4930447F04Rik,ENSMUSG00000031182.2,256,chrX,66303361,66304224,-
Mus musculus,mm10,4930449I24Rik,ENSMUSG00000079093.2,257,chr5,146502399,146505183,+
Mus musculus,mm10,4930451I11Rik,ENSMUSG00000045989.4,258,chr7,126830468,126831639,-
Mus musculus,mm10,4930452B06Rik,ENSMUSG00000021747.12,259,chr14,8431192,8666240,-
Mus musculus,mm10,4930453N24Rik,ENSMUSG00000059920.9,260,chr16,64751751,64771161,-
Mus musculus,mm10,4930455H04Rik,ENSMUSG00000080907.1,261,chr3,116968267,116984406,+
Mus musculus,mm10,4930467E23Rik,ENSMUSG00000096265.2,262,chr8,19729576,19753527,+
Mus musculus,mm10,4930469K13Rik,ENSMUSG00000085684.2,263,chr11,33973961,34098554,-
Mus musculus,mm10,4930470P17Rik,ENSMUSG00000043583.1,264,chr2,170579418,170602017,-
Mus musculus,mm10,4930474N05Rik,ENSMUSG00000096405.3,265,chr14,36094917,36100114,+
Mus musculus,mm10,4930480E11Rik,ENSMUSG00000035651.7,266,chrX,78369643,78371128,+
Mus musculus,mm10,4930486L24Rik,ENSMUSG00000050345.9,267,chr13,60842612,60864475,-
Mus musculus,mm10,4930503B20Rik,ENSMUSG00000090202.1,268,chr3,146645193,146651317,-
Mus musculus,mm10,4930503E14Rik,ENSMUSG00000072595.3,269,chr14,44163169,44213254,-
Mus musculus,mm10,4930503L19Rik,ENSMUSG00000044906.6,270,chr18,70452212,70472509,-
Mus musculus,mm10,4930505A04Rik,ENSMUSG00000040919.13,271,chr11,30426006,30471827,-
Mus musculus,mm10,4930512M02Rik,ENSMUSG00000062511.6,272,chr11,11589223,11627835,-
Mus musculus,mm10,4930513O06Rik,ENSMUSG00000031270.1,273,chrX,139086243,139093405,+
Mus musculus,mm10,4930516K23Rik,ENSMUSG00000090219.3,274,chr7,104053600,104061445,-
Mus musculus,mm10,4930519G04Rik,ENSMUSG00000029564.12,275,chr5,114853664,114883880,+
Mus musculus,mm10,4930522H14Rik,ENSMUSG00000060491.14,276,chr4,109505337,109531297,-
Mus musculus,mm10,4930522L14Rik,ENSMUSG00000072762.9,277,chr5,109735990,109751886,-
Mus musculus,mm10,4930523C07Rik,ENSMUSG00000090394.8,278,chr1,160044382,160080208,+
